district,date,month,year,visitors,Dates
Karimnagar ,1/2/2017,February,2017,0,2/1/2017
Karimnagar ,1/3/2017,March,2017,0,3/1/2017
Karimnagar ,1/4/2017,April,2017,0,4/1/2017
Karimnagar ,1/5/2017,May,2017,0,5/1/2017
Karimnagar ,1/6/2017,June,2017,0,6/1/2017
Karimnagar ,1/7/2017,July,2017,0,7/1/2017
Karimnagar ,1/8/2017,August,2017,0,8/1/2017
Karimnagar ,1/9/2017,September,2017,0,9/1/2017
Karimnagar ,1/10/2017,October,2017,0,10/1/2017
Karimnagar ,1/11/2017,November,2017,0,11/1/2017
Karimnagar ,1/12/2017,December,2017,0,12/1/2017
Khammam,1/1/2017,January,2017,0,1/1/2017
Khammam,1/2/2017,February,2017,0,2/1/2017
Khammam,1/3/2017,March,2017,0,3/1/2017
Khammam,1/4/2017,April,2017,0,4/1/2017
Khammam,1/5/2017,May,2017,0,5/1/2017
Khammam,1/6/2017,June,2017,0,6/1/2017
Khammam,1/7/2017,July,2017,0,7/1/2017
Khammam,1/8/2017,August,2017,0,8/1/2017
Khammam,1/9/2017,September,2017,0,9/1/2017
Khammam,1/10/2017,October,2017,0,10/1/2017
Khammam,1/11/2017,November,2017,0,11/1/2017
Khammam,1/12/2017,December,2017,0,12/1/2017
Komaram Bheem Asifabad,1/1/2017,January,2017,0,1/1/2017
Komaram Bheem Asifabad,1/2/2017,February,2017,0,2/1/2017
Komaram Bheem Asifabad,1/3/2017,March,2017,0,3/1/2017
Komaram Bheem Asifabad,1/4/2017,April,2017,0,4/1/2017
Komaram Bheem Asifabad,1/5/2017,May,2017,0,5/1/2017
Komaram Bheem Asifabad,1/6/2017,June,2017,0,6/1/2017
Komaram Bheem Asifabad,1/7/2017,July,2017,0,7/1/2017
Komaram Bheem Asifabad,1/8/2017,August,2017,0,8/1/2017
Komaram Bheem Asifabad,1/9/2017,September,2017,0,9/1/2017
Komaram Bheem Asifabad,1/10/2017,October,2017,0,10/1/2017
Komaram Bheem Asifabad,1/11/2017,November,2017,0,11/1/2017
Komaram Bheem Asifabad,1/12/2017,December,2017,0,12/1/2017
Mahabubabad ,1/1/2017,January,2017,0,1/1/2017
Mahabubabad ,1/2/2017,February,2017,0,2/1/2017
Mahabubabad ,1/3/2017,March,2017,0,3/1/2017
Mahabubabad ,1/4/2017,April,2017,0,4/1/2017
Mahabubabad ,1/5/2017,May,2017,0,5/1/2017
Mahabubabad ,1/6/2017,June,2017,0,6/1/2017
Mahabubabad ,1/7/2017,July,2017,0,7/1/2017
Mahabubabad ,1/8/2017,August,2017,0,8/1/2017
Mahabubabad ,1/9/2017,September,2017,0,9/1/2017
Mahabubabad ,1/10/2017,October,2017,0,10/1/2017
Mahabubabad ,1/11/2017,November,2017,0,11/1/2017
Mahabubabad ,1/12/2017,December,2017,0,12/1/2017
Mahbubnagar,1/1/2017,January,2017,42,1/1/2017
Mahbubnagar,1/2/2017,February,2017,39,2/1/2017
Mahbubnagar,1/3/2017,March,2017,38,3/1/2017
Mahbubnagar,1/4/2017,April,2017,39,4/1/2017
Mahbubnagar,1/5/2017,May,2017,41,5/1/2017
Mahbubnagar,1/6/2017,June,2017,43,6/1/2017
Mahbubnagar,1/7/2017,July,2017,42,7/1/2017
Mahbubnagar,1/8/2017,August,2017,44,8/1/2017
Mahbubnagar,1/9/2017,September,2017,54,9/1/2017
Mahbubnagar,1/10/2017,October,2017,47,10/1/2017
Mahbubnagar,1/11/2017,November,2017,49,11/1/2017
Mahbubnagar,1/12/2017,December,2017,42,12/1/2017
Mancherial,1/1/2017,January,2017,0,1/1/2017
Mancherial,1/2/2017,February,2017,0,2/1/2017
Mancherial,1/3/2017,March,2017,0,3/1/2017
Mancherial,1/4/2017,April,2017,0,4/1/2017
Mancherial,1/5/2017,May,2017,0,5/1/2017
Mancherial,1/6/2017,June,2017,0,6/1/2017
Mancherial,1/7/2017,July,2017,0,7/1/2017
Mancherial,1/8/2017,August,2017,0,8/1/2017
Mancherial,1/9/2017,September,2017,0,9/1/2017
Mancherial,1/10/2017,October,2017,0,10/1/2017
Mancherial,1/11/2017,November,2017,0,11/1/2017
Mancherial,1/12/2017,December,2017,0,12/1/2017
Medak ,1/1/2017,January,2017,0,1/1/2017
Medak ,1/2/2017,February,2017,0,2/1/2017
Medak ,1/3/2017,March,2017,0,3/1/2017
Medak ,1/4/2017,April,2017,0,4/1/2017
Medak ,1/5/2017,May,2017,0,5/1/2017
Medak ,1/6/2017,June,2017,0,6/1/2017
Medak ,1/7/2017,July,2017,0,7/1/2017
Medak ,1/8/2017,August,2017,0,8/1/2017
Medak ,1/9/2017,September,2017,0,9/1/2017
Medak ,1/10/2017,October,2017,0,10/1/2017
Medak ,1/11/2017,November,2017,0,11/1/2017
Medak ,1/12/2017,December,2017,0,12/1/2017
Medchal ,1/1/2017,January,2017,0,1/1/2017
Medchal ,1/2/2017,February,2017,0,2/1/2017
Medchal ,1/3/2017,March,2017,0,3/1/2017
Medchal ,1/4/2017,April,2017,0,4/1/2017
Medchal ,1/5/2017,May,2017,0,5/1/2017
Medchal ,1/6/2017,June,2017,0,6/1/2017
Medchal ,1/7/2017,July,2017,0,7/1/2017
Medchal ,1/8/2017,August,2017,0,8/1/2017
Medchal ,1/9/2017,September,2017,0,9/1/2017
Medchal ,1/10/2017,October,2017,0,10/1/2017
Medchal ,1/11/2017,November,2017,0,11/1/2017
Medchal ,1/12/2017,December,2017,0,12/1/2017
Nagarkurnool ,1/1/2017,January,2017,19,1/1/2017
Nagarkurnool ,1/2/2017,February,2017,25,2/1/2017
Nagarkurnool ,1/3/2017,March,2017,24,3/1/2017
Nagarkurnool ,1/4/2017,April,2017,29,4/1/2017
Nagarkurnool ,1/5/2017,May,2017,31,5/1/2017
Nagarkurnool ,1/6/2017,June,2017,35,6/1/2017
Nagarkurnool ,1/7/2017,July,2017,25,7/1/2017
Nagarkurnool ,1/8/2017,August,2017,23,8/1/2017
Nagarkurnool ,1/9/2017,September,2017,32,9/1/2017
Nagarkurnool ,1/10/2017,October,2017,18,10/1/2017
Nagarkurnool ,1/11/2017,November,2017,21,11/1/2017
Nagarkurnool ,1/12/2017,December,2017,29,12/1/2017
Nalgonda,1/1/2017,January,2017,0,1/1/2017
Nalgonda,1/2/2017,February,2017,0,2/1/2017
Nalgonda,1/3/2017,March,2017,0,3/1/2017
Nalgonda,1/4/2017,April,2017,0,4/1/2017
Nalgonda,1/5/2017,May,2017,0,5/1/2017
Nalgonda,1/6/2017,June,2017,0,6/1/2017
Nalgonda,1/7/2017,July,2017,0,7/1/2017
Nalgonda,1/8/2017,August,2017,0,8/1/2017
Nalgonda,1/9/2017,September,2017,0,9/1/2017
Nalgonda,1/10/2017,October,2017,0,10/1/2017
Nalgonda,1/11/2017,November,2017,0,11/1/2017
Nalgonda,1/12/2017,December,2017,0,12/1/2017
Nirmal,1/1/2017,January,2017,0,1/1/2017
Nirmal,1/2/2017,February,2017,0,2/1/2017
Nirmal,1/3/2017,March,2017,0,3/1/2017
Nirmal,1/4/2017,April,2017,0,4/1/2017
Nirmal,1/5/2017,May,2017,0,5/1/2017
Nirmal,1/6/2017,June,2017,0,6/1/2017
Nirmal,1/7/2017,July,2017,0,7/1/2017
Nirmal,1/8/2017,August,2017,0,8/1/2017
Nirmal,1/9/2017,September,2017,0,9/1/2017
Nirmal,1/10/2017,October,2017,0,10/1/2017
Nirmal,1/11/2017,November,2017,0,11/1/2017
Nirmal,1/12/2017,December,2017,0,12/1/2017
Nizamabad,1/1/2017,January,2017,0,1/1/2017
Nizamabad,1/2/2017,February,2017,0,2/1/2017
Nizamabad,1/3/2017,March,2017,0,3/1/2017
Nizamabad,1/4/2017,April,2017,2,4/1/2017
Nizamabad,1/5/2017,May,2017,0,5/1/2017
Nizamabad,1/6/2017,June,2017,0,6/1/2017
Nizamabad,1/7/2017,July,2017,0,7/1/2017
Nizamabad,1/8/2017,August,2017,0,8/1/2017
Nizamabad,1/9/2017,September,2017,0,9/1/2017
Nizamabad,1/10/2017,October,2017,0,10/1/2017
Nizamabad,1/11/2017,November,2017,0,11/1/2017
Nizamabad,1/12/2017,December,2017,0,12/1/2017
Peddapalli,1/1/2017,January,2017,0,1/1/2017
Peddapalli,1/2/2017,February,2017,0,2/1/2017
Peddapalli,1/3/2017,March,2017,0,3/1/2017
Peddapalli,1/4/2017,April,2017,0,4/1/2017
Peddapalli,1/5/2017,May,2017,0,5/1/2017
Peddapalli,1/6/2017,June,2017,0,6/1/2017
Peddapalli,1/7/2017,July,2017,0,7/1/2017
Peddapalli,1/8/2017,August,2017,0,8/1/2017
Peddapalli,1/9/2017,September,2017,0,9/1/2017
Peddapalli,1/10/2017,October,2017,0,10/1/2017
Peddapalli,1/11/2017,November,2017,0,11/1/2017
Peddapalli,1/12/2017,December,2017,0,12/1/2017
Rajanna Sircilla ,1/1/2017,January,2017,0,1/1/2017
Rajanna Sircilla ,1/2/2017,February,2017,0,2/1/2017
Rajanna Sircilla ,1/3/2017,March,2017,0,3/1/2017
Rajanna Sircilla ,1/4/2017,April,2017,0,4/1/2017
Rajanna Sircilla ,1/5/2017,May,2017,0,5/1/2017
Rajanna Sircilla ,1/6/2017,June,2017,0,6/1/2017
Rajanna Sircilla ,1/7/2017,July,2017,0,7/1/2017
Rajanna Sircilla ,1/8/2017,August,2017,0,8/1/2017
Rajanna Sircilla ,1/9/2017,September,2017,0,9/1/2017
Rajanna Sircilla ,1/10/2017,October,2017,0,10/1/2017
Rajanna Sircilla ,1/11/2017,November,2017,0,11/1/2017
Rajanna Sircilla ,1/12/2017,December,2017,0,12/1/2017
Ranga Reddy,1/1/2017,January,2017,0,1/1/2017
Ranga Reddy,1/2/2017,February,2017,0,2/1/2017
Ranga Reddy,1/3/2017,March,2017,0,3/1/2017
Ranga Reddy,1/4/2017,April,2017,0,4/1/2017
Ranga Reddy,1/5/2017,May,2017,0,5/1/2017
Ranga Reddy,1/6/2017,June,2017,0,6/1/2017
Ranga Reddy,1/7/2017,July,2017,0,7/1/2017
Ranga Reddy,1/8/2017,August,2017,0,8/1/2017
Ranga Reddy,1/9/2017,September,2017,0,9/1/2017
Ranga Reddy,1/10/2017,October,2017,0,10/1/2017
Ranga Reddy,1/11/2017,November,2017,0,11/1/2017
Ranga Reddy,1/12/2017,December,2017,0,12/1/2017
Sangareddy ,1/1/2017,January,2017,0,1/1/2017
Sangareddy ,1/2/2017,February,2017,0,2/1/2017
Sangareddy ,1/3/2017,March,2017,0,3/1/2017
Sangareddy ,1/4/2017,April,2017,0,4/1/2017
Sangareddy ,1/5/2017,May,2017,0,5/1/2017
Sangareddy ,1/6/2017,June,2017,0,6/1/2017
Sangareddy ,1/7/2017,July,2017,0,7/1/2017
Sangareddy ,1/8/2017,August,2017,0,8/1/2017
Sangareddy ,1/9/2017,September,2017,0,9/1/2017
Sangareddy ,1/10/2017,October,2017,0,10/1/2017
Sangareddy ,1/11/2017,November,2017,0,11/1/2017
Sangareddy ,1/12/2017,December,2017,0,12/1/2017
Siddipet,1/1/2017,January,2017,0,1/1/2017
Siddipet,1/2/2017,February,2017,0,2/1/2017
Siddipet,1/3/2017,March,2017,0,3/1/2017
Siddipet,1/4/2017,April,2017,0,4/1/2017
Siddipet,1/5/2017,May,2017,0,5/1/2017
Siddipet,1/6/2017,June,2017,0,6/1/2017
Siddipet,1/7/2017,July,2017,0,7/1/2017
Siddipet,1/8/2017,August,2017,0,8/1/2017
Siddipet,1/9/2017,September,2017,0,9/1/2017
Siddipet,1/10/2017,October,2017,0,10/1/2017
Siddipet,1/11/2017,November,2017,0,11/1/2017
Siddipet,1/12/2017,December,2017,0,12/1/2017
Suryapet,1/1/2017,January,2017,0,1/1/2017
Suryapet,1/2/2017,February,2017,0,2/1/2017
Suryapet,1/3/2017,March,2017,0,3/1/2017
Suryapet,1/4/2017,April,2017,0,4/1/2017
Suryapet,1/5/2017,May,2017,0,5/1/2017
Suryapet,1/6/2017,June,2017,0,6/1/2017
Suryapet,1/7/2017,July,2017,0,7/1/2017
Suryapet,1/8/2017,August,2017,0,8/1/2017
Suryapet,1/9/2017,September,2017,0,9/1/2017
Suryapet,1/10/2017,October,2017,0,10/1/2017
Suryapet,1/11/2017,November,2017,0,11/1/2017
Suryapet,1/12/2017,December,2017,0,12/1/2017
Vikarabad,1/1/2017,January,2017,0,1/1/2017
Vikarabad,1/2/2017,February,2017,0,2/1/2017
Vikarabad,1/3/2017,March,2017,0,3/1/2017
Vikarabad,1/4/2017,April,2017,0,4/1/2017
Vikarabad,1/5/2017,May,2017,0,5/1/2017
Vikarabad,1/6/2017,June,2017,0,6/1/2017
Vikarabad,1/7/2017,July,2017,0,7/1/2017
Vikarabad,1/8/2017,August,2017,0,8/1/2017
Vikarabad,1/9/2017,September,2017,0,9/1/2017
Vikarabad,1/10/2017,October,2017,0,10/1/2017
Vikarabad,1/11/2017,November,2017,0,11/1/2017
Vikarabad,1/12/2017,December,2017,0,12/1/2017
Wanaparthy ,1/1/2017,January,2017,0,1/1/2017
Wanaparthy ,1/2/2017,February,2017,0,2/1/2017
Wanaparthy ,1/3/2017,March,2017,0,3/1/2017
Wanaparthy ,1/4/2017,April,2017,0,4/1/2017
Wanaparthy ,1/5/2017,May,2017,0,5/1/2017
Wanaparthy ,1/6/2017,June,2017,0,6/1/2017
Wanaparthy ,1/7/2017,July,2017,0,7/1/2017
Wanaparthy ,1/8/2017,August,2017,0,8/1/2017
Wanaparthy ,1/9/2017,September,2017,0,9/1/2017
Wanaparthy ,1/10/2017,October,2017,0,10/1/2017
Wanaparthy ,1/11/2017,November,2017,0,11/1/2017
Wanaparthy ,1/12/2017,December,2017,0,12/1/2017
Warangal (Rural),1/1/2017,January,2017,35,1/1/2017
Warangal (Rural),1/2/2017,February,2017,25,2/1/2017
Warangal (Rural),1/3/2017,March,2017,17,3/1/2017
Warangal (Rural),1/4/2017,April,2017,19,4/1/2017
Warangal (Rural),1/5/2017,May,2017,21,5/1/2017
Warangal (Rural),1/6/2017,June,2017,24,6/1/2017
Warangal (Rural),1/7/2017,July,2017,25,7/1/2017
Warangal (Rural),1/8/2017,August,2017,28,8/1/2017
Warangal (Rural),1/9/2017,September,2017,26,9/1/2017
Warangal (Rural),1/10/2017,October,2017,25,10/1/2017
Warangal (Rural),1/11/2017,November,2017,29,11/1/2017
Warangal (Rural),1/12/2017,December,2017,32,12/1/2017
Warangal (Urban),1/1/2017,January,2017,235,1/1/2017
Warangal (Urban),1/2/2017,February,2017,242,2/1/2017
Warangal (Urban),1/3/2017,March,2017,238,3/1/2017
Warangal (Urban),1/4/2017,April,2017,209,4/1/2017
Warangal (Urban),1/5/2017,May,2017,211,5/1/2017
Warangal (Urban),1/6/2017,June,2017,194,6/1/2017
Warangal (Urban),1/7/2017,July,2017,116,7/1/2017
Warangal (Urban),1/8/2017,August,2017,219,8/1/2017
Warangal (Urban),1/9/2017,September,2017,225,9/1/2017
Warangal (Urban),1/10/2017,October,2017,236,10/1/2017
Warangal (Urban),1/11/2017,November,2017,255,11/1/2017
Warangal (Urban),1/12/2017,December,2017,250,12/1/2017
Yadadri Bhongir,1/1/2017,January,2017,0,1/1/2017
Yadadri Bhongir,1/2/2017,February,2017,0,2/1/2017
Yadadri Bhongir,1/3/2017,March,2017,0,3/1/2017
Yadadri Bhongir,1/4/2017,April,2017,0,4/1/2017
Yadadri Bhongir,1/5/2017,May,2017,0,5/1/2017
Yadadri Bhongir,1/6/2017,June,2017,0,6/1/2017
Yadadri Bhongir,1/7/2017,July,2017,0,7/1/2017
Yadadri Bhongir,1/8/2017,August,2017,0,8/1/2017
Yadadri Bhongir,1/9/2017,September,2017,0,9/1/2017
Yadadri Bhongir,1/10/2017,October,2017,0,10/1/2017
Yadadri Bhongir,1/11/2017,November,2017,0,11/1/2017
Yadadri Bhongir,1/12/2017,December,2017,0,12/1/2017
Adilabad,1/1/2018,January,2018,0,1/1/2018
Adilabad,1/2/2018,February,2018,0,2/1/2018
Adilabad,1/3/2018,March,2018,0,3/1/2018
Adilabad,1/4/2018,April,2018,0,4/1/2018
Adilabad,1/5/2018,May,2018,0,5/1/2018
Adilabad,1/6/2018,June,2018,0,6/1/2018
Adilabad,1/7/2018,July,2018,2,7/1/2018
Adilabad,1/8/2018,August,2018,3,8/1/2018
Adilabad,1/9/2018,September,2018,0,9/1/2018
Adilabad,1/10/2018,October,2018,0,10/1/2018
Adilabad,1/11/2018,November,2018,0,11/1/2018
Adilabad,1/12/2018,December,2018,0,12/1/2018
Bhadradri Kothagudem ,1/1/2018,January,2018,0,1/1/2018
Bhadradri Kothagudem ,1/2/2018,February,2018,0,2/1/2018
Bhadradri Kothagudem ,1/3/2018,March,2018,0,3/1/2018
Bhadradri Kothagudem ,1/4/2018,April,2018,0,4/1/2018
Bhadradri Kothagudem ,1/5/2018,May,2018,0,5/1/2018
Bhadradri Kothagudem ,1/6/2018,June,2018,0,6/1/2018
Bhadradri Kothagudem ,1/7/2018,July,2018,0,7/1/2018
Bhadradri Kothagudem ,1/8/2018,August,2018,0,8/1/2018
Bhadradri Kothagudem ,1/9/2018,September,2018,0,9/1/2018
Bhadradri Kothagudem ,1/10/2018,October,2018,0,10/1/2018
Bhadradri Kothagudem ,1/11/2018,November,2018,0,11/1/2018
Bhadradri Kothagudem ,1/12/2018,December,2018,0,12/1/2018
Hyderabad,1/1/2018,January,2018,35379,1/1/2018
Hyderabad,1/2/2018,February,2018,30414,2/1/2018
Hyderabad,1/3/2018,March,2018,27535,3/1/2018
Hyderabad,1/4/2018,April,2018,20830,4/1/2018
Hyderabad,1/5/2018,May,2018,21554,5/1/2018
Hyderabad,1/6/2018,June,2018,24677,6/1/2018
Hyderabad,1/7/2018,July,2018,17456,7/1/2018
Hyderabad,1/8/2018,August,2018,31217,8/1/2018
Hyderabad,1/9/2018,September,2018,22809,9/1/2018
Hyderabad,1/10/2018,October,2018,30072,10/1/2018
Hyderabad,1/11/2018,November,2018,23487,11/1/2018
Hyderabad,1/12/2018,December,2018,29358,12/1/2018
Jagtial ,1/1/2018,January,2018,0,1/1/2018
Jagtial ,1/2/2018,February,2018,0,2/1/2018
Jagtial ,1/3/2018,March,2018,0,3/1/2018
Jagtial ,1/4/2018,April,2018,0,4/1/2018
Jagtial ,1/5/2018,May,2018,0,5/1/2018
Jagtial ,1/6/2018,June,2018,0,6/1/2018
Jagtial ,1/7/2018,July,2018,0,7/1/2018
Jagtial ,1/8/2018,August,2018,0,8/1/2018
Jagtial ,1/9/2018,September,2018,0,9/1/2018
Jagtial ,1/10/2018,October,2018,0,10/1/2018
Jagtial ,1/11/2018,November,2018,0,11/1/2018
Jagtial ,1/12/2018,December,2018,0,12/1/2018
Jangaon ,1/1/2018,January,2018,0,1/1/2018
Jangaon ,1/2/2018,February,2018,0,2/1/2018
Jangaon ,1/3/2018,March,2018,0,3/1/2018
Jangaon ,1/4/2018,April,2018,0,4/1/2018
Jangaon ,1/5/2018,May,2018,0,5/1/2018
Jangaon ,1/6/2018,June,2018,0,6/1/2018
Jangaon ,1/7/2018,July,2018,0,7/1/2018
Jangaon ,1/8/2018,August,2018,0,8/1/2018
Jangaon ,1/9/2018,September,2018,0,9/1/2018
Jangaon ,1/10/2018,October,2018,0,10/1/2018
Jangaon ,1/11/2018,November,2018,0,11/1/2018
Jangaon ,1/12/2018,December,2018,0,12/1/2018
Jayashankar Bhoopalpally,1/1/2018,January,2018,50,1/1/2018
Jayashankar Bhoopalpally,1/2/2018,February,2018,60,2/1/2018
Jayashankar Bhoopalpally,1/3/2018,March,2018,70,3/1/2018
Jayashankar Bhoopalpally,1/4/2018,April,2018,45,4/1/2018
Jayashankar Bhoopalpally,1/5/2018,May,2018,40,5/1/2018
Jayashankar Bhoopalpally,1/6/2018,June,2018,35,6/1/2018
Jayashankar Bhoopalpally,1/7/2018,July,2018,40,7/1/2018
Jayashankar Bhoopalpally,1/8/2018,August,2018,35,8/1/2018
Jayashankar Bhoopalpally,1/9/2018,September,2018,40,9/1/2018
Jayashankar Bhoopalpally,1/10/2018,October,2018,40,10/1/2018
Jayashankar Bhoopalpally,1/11/2018,November,2018,40,11/1/2018
Jayashankar Bhoopalpally,1/12/2018,December,2018,44,12/1/2018
Jogulamba Gadwal ,1/1/2018,January,2018,36,1/1/2018
Jogulamba Gadwal ,1/2/2018,February,2018,6,2/1/2018
Jogulamba Gadwal ,1/3/2018,March,2018,22,3/1/2018
Jogulamba Gadwal ,1/4/2018,April,2018,15,4/1/2018
Jogulamba Gadwal ,1/5/2018,May,2018,19,5/1/2018
Jogulamba Gadwal ,1/6/2018,June,2018,19,6/1/2018
Jogulamba Gadwal ,1/7/2018,July,2018,37,7/1/2018
Jogulamba Gadwal ,1/8/2018,August,2018,42,8/1/2018
Jogulamba Gadwal ,1/9/2018,September,2018,35,9/1/2018
Jogulamba Gadwal ,1/10/2018,October,2018,13,10/1/2018
Jogulamba Gadwal ,1/11/2018,November,2018,45,11/1/2018
Jogulamba Gadwal ,1/12/2018,December,2018,11,12/1/2018
Kamareddy ,1/1/2018,January,2018,0,1/1/2018
Kamareddy ,1/2/2018,February,2018,0,2/1/2018
Kamareddy ,1/3/2018,March,2018,0,3/1/2018
Kamareddy ,1/4/2018,April,2018,0,4/1/2018
Kamareddy ,1/5/2018,May,2018,0,5/1/2018
Kamareddy ,1/6/2018,June,2018,0,6/1/2018
Kamareddy ,1/7/2018,July,2018,0,7/1/2018
Kamareddy ,1/8/2018,August,2018,0,8/1/2018
Kamareddy ,1/9/2018,September,2018,0,9/1/2018
Kamareddy ,1/10/2018,October,2018,0,10/1/2018
Kamareddy ,1/11/2018,November,2018,0,11/1/2018
Kamareddy ,1/12/2018,December,2018,0,12/1/2018
Karimnagar ,1/1/2018,January,2018,0,1/1/2018
Karimnagar ,1/2/2018,February,2018,0,2/1/2018
Karimnagar ,1/3/2018,March,2018,0,3/1/2018
Karimnagar ,1/4/2018,April,2018,0,4/1/2018
Karimnagar ,1/5/2018,May,2018,0,5/1/2018
Karimnagar ,1/6/2018,June,2018,0,6/1/2018
Karimnagar ,1/7/2018,July,2018,0,7/1/2018
Karimnagar ,1/8/2018,August,2018,0,8/1/2018
Karimnagar ,1/9/2018,September,2018,0,9/1/2018
Karimnagar ,1/10/2018,October,2018,0,10/1/2018
Karimnagar ,1/11/2018,November,2018,0,11/1/2018
Karimnagar ,1/12/2018,December,2018,0,12/1/2018
Khammam,1/1/2018,January,2018,0,1/1/2018
Khammam,1/2/2018,February,2018,0,2/1/2018
Khammam,1/3/2018,March,2018,0,3/1/2018
Khammam,1/4/2018,April,2018,0,4/1/2018
Khammam,1/5/2018,May,2018,0,5/1/2018
Khammam,1/6/2018,June,2018,0,6/1/2018
Khammam,1/7/2018,July,2018,0,7/1/2018
Khammam,1/8/2018,August,2018,0,8/1/2018
Khammam,1/9/2018,September,2018,0,9/1/2018
Khammam,1/10/2018,October,2018,0,10/1/2018
Khammam,1/11/2018,November,2018,0,11/1/2018
Khammam,1/12/2018,December,2018,0,12/1/2018
Komaram Bheem Asifabad,1/1/2018,January,2018,0,1/1/2018
Komaram Bheem Asifabad,1/2/2018,February,2018,0,2/1/2018
Komaram Bheem Asifabad,1/3/2018,March,2018,0,3/1/2018
Komaram Bheem Asifabad,1/4/2018,April,2018,0,4/1/2018
Komaram Bheem Asifabad,1/5/2018,May,2018,0,5/1/2018
Komaram Bheem Asifabad,1/6/2018,June,2018,0,6/1/2018
Komaram Bheem Asifabad,1/7/2018,July,2018,0,7/1/2018
Komaram Bheem Asifabad,1/8/2018,August,2018,0,8/1/2018
Komaram Bheem Asifabad,1/9/2018,September,2018,0,9/1/2018
Komaram Bheem Asifabad,1/10/2018,October,2018,0,10/1/2018
Komaram Bheem Asifabad,1/11/2018,November,2018,0,11/1/2018
Komaram Bheem Asifabad,1/12/2018,December,2018,0,12/1/2018
Mahabubabad ,1/1/2018,January,2018,0,1/1/2018
Mahabubabad ,1/2/2018,February,2018,0,2/1/2018
Mahabubabad ,1/3/2018,March,2018,0,3/1/2018
Mahabubabad ,1/4/2018,April,2018,0,4/1/2018
Mahabubabad ,1/5/2018,May,2018,0,5/1/2018
Mahabubabad ,1/6/2018,June,2018,0,6/1/2018
Mahabubabad ,1/7/2018,July,2018,0,7/1/2018
Mahabubabad ,1/8/2018,August,2018,0,8/1/2018
Mahabubabad ,1/9/2018,September,2018,0,9/1/2018
Mahabubabad ,1/10/2018,October,2018,0,10/1/2018
Mahabubabad ,1/11/2018,November,2018,0,11/1/2018
Mahabubabad ,1/12/2018,December,2018,0,12/1/2018
Mahbubnagar,1/1/2018,January,2018,45,1/1/2018
Mahbubnagar,1/2/2018,February,2018,29,2/1/2018
Mahbubnagar,1/3/2018,March,2018,28,3/1/2018
Mahbubnagar,1/4/2018,April,2018,26,4/1/2018
Mahbubnagar,1/5/2018,May,2018,26,5/1/2018
Mahbubnagar,1/6/2018,June,2018,26,6/1/2018
Mahbubnagar,1/7/2018,July,2018,47,7/1/2018
Mahbubnagar,1/8/2018,August,2018,44,8/1/2018
Mahbubnagar,1/9/2018,September,2018,52,9/1/2018
Mahbubnagar,1/10/2018,October,2018,37,10/1/2018
Mahbubnagar,1/11/2018,November,2018,68,11/1/2018
Mahbubnagar,1/12/2018,December,2018,26,12/1/2018
Mancherial,1/1/2018,January,2018,0,1/1/2018
Mancherial,1/2/2018,February,2018,0,2/1/2018
Mancherial,1/3/2018,March,2018,0,3/1/2018
Mancherial,1/4/2018,April,2018,0,4/1/2018
Mancherial,1/5/2018,May,2018,0,5/1/2018
Mancherial,1/6/2018,June,2018,0,6/1/2018
Mancherial,1/7/2018,July,2018,0,7/1/2018
Mancherial,1/8/2018,August,2018,0,8/1/2018
Mancherial,1/9/2018,September,2018,0,9/1/2018
Mancherial,1/10/2018,October,2018,0,10/1/2018
Mancherial,1/11/2018,November,2018,0,11/1/2018
Mancherial,1/12/2018,December,2018,0,12/1/2018
Medak ,1/1/2018,January,2018,0,1/1/2018
Medak ,1/2/2018,February,2018,0,2/1/2018
Medak ,1/3/2018,March,2018,0,3/1/2018
Medak ,1/4/2018,April,2018,0,4/1/2018
Medak ,1/5/2018,May,2018,0,5/1/2018
Medak ,1/6/2018,June,2018,0,6/1/2018
Medak ,1/7/2018,July,2018,0,7/1/2018
Medak ,1/8/2018,August,2018,0,8/1/2018
Medak ,1/9/2018,September,2018,0,9/1/2018
Medak ,1/10/2018,October,2018,0,10/1/2018
Medak ,1/11/2018,November,2018,0,11/1/2018
Medak ,1/12/2018,December,2018,0,12/1/2018
Medchal ,1/1/2018,January,2018,0,1/1/2018
Medchal ,1/2/2018,February,2018,0,2/1/2018
Medchal ,1/3/2018,March,2018,0,3/1/2018
Medchal ,1/4/2018,April,2018,0,4/1/2018
Medchal ,1/5/2018,May,2018,0,5/1/2018
Medchal ,1/6/2018,June,2018,0,6/1/2018
Medchal ,1/7/2018,July,2018,0,7/1/2018
Medchal ,1/8/2018,August,2018,0,8/1/2018
Medchal ,1/9/2018,September,2018,0,9/1/2018
Medchal ,1/10/2018,October,2018,0,10/1/2018
Medchal ,1/11/2018,November,2018,0,11/1/2018
Medchal ,1/12/2018,December,2018,0,12/1/2018
Nagarkurnool ,1/1/2018,January,2018,35,1/1/2018
Nagarkurnool ,1/2/2018,February,2018,15,2/1/2018
Nagarkurnool ,1/3/2018,March,2018,14,3/1/2018
Nagarkurnool ,1/4/2018,April,2018,15,4/1/2018
Nagarkurnool ,1/5/2018,May,2018,19,5/1/2018
Nagarkurnool ,1/6/2018,June,2018,15,6/1/2018
Nagarkurnool ,1/7/2018,July,2018,17,7/1/2018
Nagarkurnool ,1/8/2018,August,2018,22,8/1/2018
Nagarkurnool ,1/9/2018,September,2018,22,9/1/2018
